"year","sex","births"
"1880","boy",118405
"1881","boy",108290
"1882","boy",122034
"1883","boy",112487
"1884","boy",122745
"1885","boy",115948
"1886","boy",119046
"1887","boy",109312
"1888","boy",129914
"1889","boy",119044
"1890","boy",119704
"1891","boy",109272
"1892","boy",131457
"1893","boy",121045
"1894","boy",124902
"1895","boy",126650
"1896","boy",129082
"1897","boy",121952
"1898","boy",132116
"1899","boy",115206
"1900","boy",162245
"1901","boy",115606
"1902","boy",132753
"1903","boy",129332
"1904","boy",138510
"1905","boy",143246
"1906","boy",144074
"1907","boy",158598
"1908","boy",166366
"1909","boy",176846
"1910","boy",208499
"1911","boy",241334
"1912","boy",451415
"1913","boy",536124
"1914","boy",683291
"1915","boy",881027
"1916","boy",923293
"1917","boy",959295
"1918","boy",1049042
"1919","boy",1015470
"1920","boy",1100895
"1921","boy",1137788
"1922","boy",1125420
"1923","boy",1132401
"1924","boy",1168863
"1925","boy",1151127
"1926","boy",1145327
"1927","boy",1161129
"1928","boy",1140477
"1929","boy",1106734
"1930","boy",1128585
"1931","boy",1068508
"1932","boy",1073709
"1933","boy",1019176
"1934","boy",1061163
"1935","boy",1068778
"1936","boy",1063649
"1937","boy",1092813
"1938","boy",1135752
"1939","boy",1132731
"1940","boy",1185613
"1941","boy",1254095
"1942","boy",1407606
"1943","boy",1453729
"1944","boy",1389075
"1945","boy",1371149
"1946","boy",1648317
"1947","boy",1855892
"1948","boy",1779842
"1949","boy",1797593
"1950","boy",1818422
"1951","boy",1905909
"1952","boy",1973125
"1953","boy",1998453
"1954","boy",2067213
"1955","boy",2087688
"1956","boy",2143738
"1957","boy",2186874
"1958","boy",2152102
"1959","boy",2165866
"1960","boy",2165791
"1961","boy",2154552
"1962","boy",2101707
"1963","boy",2064918
"1964","boy",2026790
"1965","boy",1895208
"1966","boy",1817507
"1967","boy",1779517
"1968","boy",1775770
"1969","boy",1829787
"1970","boy",1904697
"1971","boy",1817177
"1972","boy",1673978
"1973","boy",1613151
"1974","boy",1629757
"1975","boy",1621883
"1976","boy",1632108
"1977","boy",1708308
"1978","boy",1707216
"1979","boy",1789972
"1980","boy",1852461
"1981","boy",1860120
"1982","boy",1884658
"1983","boy",1861142
"1984","boy",1874075
"1985","boy",1922058
"1986","boy",1919271
"1987","boy",1948239
"1988","boy",1999648
"1989","boy",2094867
"1990","boy",2149965
"1991","boy",2118258
"1992","boy",2097457
"1993","boy",2063750
"1994","boy",2036537
"1995","boy",2009714
"1996","boy",2002142
"1997","boy",1996146
"1998","boy",2025866
"1999","boy",2036939
"2000","boy",2085772
"2001","boy",2065725
"2002","boy",2063688
"2003","boy",2097895
"2004","boy",2109465
"2005","boy",2122493
"2006","boy",2186079
"2007","boy",2207257
"2008","boy",2169740
"2009","boy",2095910
"1880","girl",97606
"1881","girl",98860
"1882","girl",115698
"1883","girl",120068
"1884","girl",137588
"1885","girl",141954
"1886","girl",153743
"1887","girl",155424
"1888","girl",189455
"1889","girl",189221
"1890","girl",201664
"1891","girl",196578
"1892","girl",224926
"1893","girl",225239
"1894","girl",235975
"1895","girl",247112
"1896","girl",252001
"1897","girl",248274
"1898","girl",274153
"1899","girl",247494
"1900","girl",317868
"1901","girl",254235
"1902","girl",280338
"1903","girl",278200
"1904","girl",292443
"1905","girl",309884
"1906","girl",313417
"1907","girl",337422
"1908","girl",354477
"1909","girl",368029
"1910","girl",419406
"1911","girl",441621
"1912","girl",586448
"1913","girl",654560
"1914","girl",796268
"1915","girl",1023759
"1916","girl",1085588
"1917","girl",1123557
"1918","girl",1202293
"1919","girl",1174616
"1920","girl",1243892
"1921","girl",1279456
"1922","girl",1247341
"1923","girl",1252275
"1924","girl",1295622
"1925","girl",1262857
"1926","girl",1229733
"1927","girl",1236165
"1928","girl",1194984
"1929","girl",1157278
"1930","girl",1165950
"1931","girl",1103151
"1932","girl",1106050
"1933","girl",1045557
"1934","girl",1081968
"1935","girl",1086433
"1936","girl",1077225
"1937","girl",1101533
"1938","girl",1141160
"1939","girl",1133824
"1940","girl",1181157
"1941","girl",1245632
"1942","girl",1390363
"1943","girl",1434984
"1944","girl",1366427
"1945","girl",1346112
"1946","girl",1611983
"1947","girl",1817550
"1948","girl",1741506
"1949","girl",1754263
"1950","girl",1758485
"1951","girl",1844600
"1952","girl",1902182
"1953","girl",1928156
"1954","girl",1990505
"1955","girl",2004102
"1956","girl",2059171
"1957","girl",2097173
"1958","girl",2064606
"1959","girl",2078225
"1960","girl",2079835
"1961","girl",2075398
"1962","girl",2026692
"1963","girl",1987601
"1964","girl",1956668
"1965","girl",1826999
"1966","girl",1755193
"1967","girl",1716357
"1968","girl",1709233
"1969","girl",1762281
"1970","girl",1831350
"1971","girl",1751652
"1972","girl",1612271
"1973","girl",1553651
"1974","girl",1565761
"1975","girl",1560169
"1976","girl",1571404
"1977","girl",1644197
"1978","girl",1642946
"1979","girl",1722356
"1980","girl",1779205
"1981","girl",1786947
"1982","girl",1812618
"1983","girl",1788111
"1984","girl",1801542
"1985","girl",1844650
"1986","girl",1843724
"1987","girl",1872933
"1988","girl",1921055
"1989","girl",1991601
"1990","girl",2052954
"1991","girl",2032363
"1992","girl",2003455
"1993","girl",1969927
"1994","girl",1947847
"1995","girl",1920114
"1996","girl",1915857
"1997","girl",1907748
"1998","girl",1936796
"1999","girl",1944885
"2000","girl",1993329
"2001","girl",1978213
"2002","girl",1972065
"2003","girl",2003252
"2004","girl",2013908
"2005","girl",2024636
"2006","girl",2084511
"2007","girl",2109099
"2008","girl",2072756
"2009","girl",2001968
