"county","state","area","pop","p18_25","p65","nphysician","nhospbeds","phs","pcollege","ppoverty","punemployed","avg_income","tot_income","region","crime"
"Los_Angeles","CA",4060,8863164,32.1,9.7,23677,27700,70,22.3,11.6,8,20786,184230,4,77.7302552451924
"Cook","IL",946,5105067,29.2,12.4,15153,21550,73.4,22.8,11.1,7.2,21729,110928,2,85.5886906087618
"Harris","TX",1729,2818199,31.3,7.1,7553,12449,74.9,25.4,12.5,5.7,19517,55003,3,89.9602902421014
"San_Diego","CA",4205,2498016,33.5,10.9,5905,6179,81.9,25.3,8.1,6.1,19588,48931,4,69.5836215620717
"Orange","CA",790,2410556,32.6,9.2,6062,6369,81.2,27.8,5.2,4.8,24400,58818,4,59.9546328730799
"Kings","NY",71,2300664,28.3,12.4,4861,8942,63.7,16.6,19.5,9.5,16803,38658,1,295.986723832772
"Maricopa","AZ",9204,2122101,29.2,12.5,4320,6104,81.5,22.1,8.8,4.9,18042,38287,4,83.6873457012649
"Wayne","MI",614,2111687,27.4,12.5,3823,9490,70,13.7,16.9,10,17461,36872,2,91.8592575509533
"Dade","FL",1945,1937094,27.1,13.9,6274,8840,65,18.8,14.2,8.7,17823,34525,3,126.33615095602
"Dallas","TX",880,1852810,32.6,8.2,4718,6934,77.1,26.3,10.4,6.1,21001,38911,3,115.639488128842
"Philadelphia","PA",135,1585577,29.1,15.2,6641,10494,64.3,15.2,16.1,8,16721,26512,1,68.8380318332065
"King","WA",2126,1507319,30.1,11.1,5280,4009,88.2,32.8,5,4.6,23779,35843,4,82.9014959673433
"Santa_Clara","CA",1291,1497577,32.6,8.7,4101,3342,82,32.6,5,5.5,25193,37728,4,51.4223976463314
"San_Bernardino","CA",20062,1418380,30.1,8.8,2463,3349,75.4,14.9,10.3,8,16399,23260,4,58.5950168502094
"Cuyahoga","OH",458,1412140,26.3,15.6,5620,8132,74,20.1,11,5.5,21086,29776,2,51.8008129505573
"Middlesex","MA",824,1398468,31.7,12.5,5158,4152,84.3,35.4,4.2,7.3,25312,35398,1,25.6173183798271
"Allegheny","PA",730,1336449,26.2,17.4,5281,8436,79,22.6,8.7,5.3,20681,27639,1,37.551750945977
"Suffolk","NY",911,1321864,27.9,10.8,3021,3904,82.2,23,3.3,7,24262,32071,1,50.4764484092161
"Nassau","NY",287,1287348,25.7,14.2,6147,5200,84.2,30,2.5,5.1,31679,40782,1,33.5596901537114
"Alameda","CA",738,1279182,30.8,10.6,3169,3284,81.4,28.8,8.1,5.3,22148,28331,4,83.9114371528055
"Broward","FL",1209,1255488,25.3,20.7,2456,5543,76.8,18.8,7.1,7.4,22355,28066,3,85.5332747107101
"Bexar","TX",1247,1185394,29.5,9.9,3062,4086,72.7,19.7,16.2,6.7,15508,18383,3,112.281654875932
"Riverside","CA",7208,1170413,27.9,13.2,1385,2435,74.1,14.6,8.4,10.7,17185,20114,4,81.5900028451495
"Tarrant","TX",864,1170103,32.2,8.3,1677,3672,79.9,24,8.2,6.6,18825,22027,3,113.233621313679
"Oakland","MI",873,1083592,27.6,10.9,4020,3254,84.6,30.2,4.4,7.3,26884,29131,2,47.0324624028232
"Sacramento","CA",966,1041219,29.7,10.6,2464,2855,82.2,23,9.8,6.3,18934,19714,4,80.9675966343296
"Hennepin","MN",557,1032431,31.6,11.3,3706,5395,88.2,31.6,6.4,4.3,23705,24474,2,69.4990754830105
"St._Louis","MO",508,993529,26.1,13.1,1194,1056,82.3,29.2,4,5.1,24219,24062,2,42.8724274782115
"Erie","NY",1045,968532,27.3,15.2,2748,4632,76.4,20,9.4,6.8,18305,17729,1,57.1029145139242
"Franklin","OH",540,961437,33.5,9.6,2675,4011,81,26.6,9.1,4.2,19040,18306,2,85.996274326867
"Milwaukee","WI",242,959275,29.3,13.6,2774,4141,76.3,19.3,12.6,4.9,18431,17680,2,76.8090485001694
"Westchester","NY",433,874866,26.3,14.4,4577,3540,81,35.3,4.7,5.4,33330,29159,1,42.4270688311124
"Hamilton","OH",407,866228,28,13.3,3164,4683,75.6,23.7,10.3,4.5,20580,17827,2,66.0426585148483
"Palm_Beach","FL",1974,863518,23.3,24.4,1833,3164,78.8,22.1,6.2,8.4,26798,23141,3,88.1765058748052
"Hartford","CT",736,851783,28.3,14.1,2851,2940,77.7,25.8,6,6.9,24875,21188,1,60.9615359780601
"Pinellas","FL",280,851659,22.4,26,1620,4458,78.1,18.5,6.2,6.2,21610,18404,3,73.2030073069151
"Honolulu","HI",600,836231,30.6,11,2025,2174,81.2,24.6,5.4,2.3,21307,17818,4,61.0261996984087
"Hillsborough","FL",1051,834054,29.4,12.2,2012,3068,75.6,20.2,9.5,6,16876,14075,3,107.780791171795
"Fairfield","CT",626,827645,26.7,13.3,2417,2494,81,34.2,4.5,5.9,32342,26768,1,53.6147744503984
