"long","lat","group","order","state","county","pop","bin"
-95.7527084350586,31.5355987548828,1,1,"texas","anderson",56474,"< 1e5"
-95.769889831543,31.5585174560547,1,2,"texas","anderson",56474,"< 1e5"
-95.76416015625,31.5814323425293,1,3,"texas","anderson",56474,"< 1e5"
-95.7297897338867,31.5814323425293,1,4,"texas","anderson",56474,"< 1e5"
-95.7469787597656,31.6100807189941,1,5,"texas","anderson",56474,"< 1e5"
-95.7240524291992,31.6387310028076,1,6,"texas","anderson",56474,"< 1e5"
-95.7527084350586,31.6731071472168,1,7,"texas","anderson",56474,"< 1e5"
-95.769889831543,31.6673755645752,1,8,"texas","anderson",56474,"< 1e5"
-95.7756271362305,31.632999420166,1,9,"texas","anderson",56474,"< 1e5"
-95.7985458374023,31.6387310028076,1,10,"texas","anderson",56474,"< 1e5"
-95.8099975585938,31.6731071472168,1,11,"texas","anderson",56474,"< 1e5"
-95.7928161621094,31.7132129669189,1,12,"texas","anderson",56474,"< 1e5"
-95.8214645385742,31.707483291626,1,13,"texas","anderson",56474,"< 1e5"
-95.878761291504,31.7132129669189,1,14,"texas","anderson",56474,"< 1e5"
-95.878761291504,31.7533206939697,1,15,"texas","anderson",56474,"< 1e5"
-95.9188690185547,31.7819690704346,1,16,"texas","anderson",56474,"< 1e5"
-95.947509765625,31.7819690704346,1,17,"texas","anderson",56474,"< 1e5"
-95.9876174926758,31.8048877716064,1,18,"texas","anderson",56474,"< 1e5"
-95.9818878173828,31.8392658233643,1,19,"texas","anderson",56474,"< 1e5"
-95.9990768432617,31.8621845245361,1,20,"texas","anderson",56474,"< 1e5"
-95.9818878173828,31.885103225708,1,21,"texas","anderson",56474,"< 1e5"
-96.0219955444336,31.885103225708,1,22,"texas","anderson",56474,"< 1e5"
-96.0334548950195,31.9022903442383,1,23,"texas","anderson",56474,"< 1e5"
-96.0105361938477,31.9366664886475,1,24,"texas","anderson",56474,"< 1e5"
-96.0219955444336,31.948127746582,1,25,"texas","anderson",56474,"< 1e5"
-96.0735626220703,31.9595851898193,1,26,"texas","anderson",56474,"< 1e5"
-96.0678329467773,31.9939613342285,1,27,"texas","anderson",56474,"< 1e5"
-96.0621032714844,32.0168800354004,1,28,"texas","anderson",56474,"< 1e5"
-95.4490356445312,32.097095489502,1,29,"texas","anderson",56474,"< 1e5"
-95.4433059692383,32.0741806030273,1,30,"texas","anderson",56474,"< 1e5"
-95.4433059692383,32.0283432006836,1,31,"texas","anderson",56474,"< 1e5"
-95.4547729492188,31.9825038909912,1,32,"texas","anderson",56474,"< 1e5"
-95.4318466186523,31.9538555145264,1,33,"texas","anderson",56474,"< 1e5"
-95.4375762939453,31.8736419677734,1,34,"texas","anderson",56474,"< 1e5"
-95.408935546875,31.8449954986572,1,35,"texas","anderson",56474,"< 1e5"
-95.3917388916016,31.7876968383789,1,36,"texas","anderson",56474,"< 1e5"
-95.3516311645508,31.7418632507324,1,37,"texas","anderson",56474,"< 1e5"
-95.3000717163086,31.7246723175049,1,38,"texas","anderson",56474,"< 1e5"
-95.2943420410156,31.6731071472168,1,39,"texas","anderson",56474,"< 1e5"
-95.2656936645508,31.6158123016357,1,40,"texas","anderson",56474,"< 1e5"
-95.7527084350586,31.5355987548828,1,41,"texas","anderson",56474,"< 1e5"
-102.204208374023,32.085636138916,2,42,"texas","andrews",12890,"< 1e5"
-102.278694152832,32.085636138916,2,43,"texas","andrews",12890,"< 1e5"
-102.811546325684,32.0741806030273,2,44,"texas","andrews",12890,"< 1e5"
-103.07511138916,32.0741806030273,2,45,"texas","andrews",12890,"< 1e5"
-103.07511138916,32.5096244812012,2,46,"texas","andrews",12890,"< 1e5"
-102.209945678711,32.5210838317871,2,47,"texas","andrews",12890,"< 1e5"
-102.204208374023,32.085636138916,2,48,"texas","andrews",12890,"< 1e5"
-94.131233215332,31.123067855835,3,49,"texas","angelina",82204,"< 1e5"
-94.4578247070312,31.0543117523193,3,50,"texas","angelina",82204,"< 1e5"
-94.5666885375977,31.0829620361328,3,51,"texas","angelina",82204,"< 1e5"
-94.8417053222656,31.1689052581787,3,52,"texas","angelina",82204,"< 1e5"
-94.8703536987305,31.2319278717041,3,53,"texas","angelina",82204,"< 1e5"
-94.8703536987305,31.2663078308105,3,54,"texas","angelina",82204,"< 1e5"
-94.9047241210938,31.2892265319824,3,55,"texas","angelina",82204,"< 1e5"
-94.8818130493164,31.3178730010986,3,56,"texas","angelina",82204,"< 1e5"
-94.956298828125,31.3637104034424,3,57,"texas","angelina",82204,"< 1e5"
-94.9391021728516,31.3808975219727,3,58,"texas","angelina",82204,"< 1e5"
-94.962028503418,31.4038162231445,3,59,"texas","angelina",82204,"< 1e5"
-94.9906692504883,31.4496536254883,3,60,"texas","angelina",82204,"< 1e5"
-94.85888671875,31.5527858734131,3,61,"texas","angelina",82204,"< 1e5"
-94.8359756469727,31.5241374969482,3,62,"texas","angelina",82204,"< 1e5"
-94.7271118164062,31.4783000946045,3,63,"texas","angelina",82204,"< 1e5"
-94.6067962646484,31.4611110687256,3,64,"texas","angelina",82204,"< 1e5"
-94.5494995117188,31.432466506958,3,65,"texas","angelina",82204,"< 1e5"
-94.509391784668,31.432466506958,3,66,"texas","angelina",82204,"< 1e5"
-94.4864654541016,31.4267349243164,3,67,"texas","angelina",82204,"< 1e5"
-94.4750137329102,31.3751678466797,3,68,"texas","angelina",82204,"< 1e5"
-94.3833389282227,31.2892265319824,3,69,"texas","angelina",82204,"< 1e5"
-94.337501525879,31.2491188049316,3,70,"texas","angelina",82204,"< 1e5"
-94.131233215332,31.123067855835,3,71,"texas","angelina",82204,"< 1e5"
-96.8012161254883,28.3155746459961,4,72,"texas","aransas",24433,"< 1e5"
-96.8126754760742,28.2869262695312,4,73,"texas","aransas",24433,"< 1e5"
-96.8069458007812,28.2582778930664,4,74,"texas","aransas",24433,"< 1e5"
-96.8241424560547,28.2181720733643,4,75,"texas","aransas",24433,"< 1e5"
-96.8757019042969,28.1952533721924,4,76,"texas","aransas",24433,"< 1e5"
-96.9100875854492,28.1666049957275,4,77,"texas","aransas",24433,"< 1e5"
-96.9444580078125,28.1494159698486,4,78,"texas","aransas",24433,"< 1e5"
-96.9444580078125,28.1837940216064,4,79,"texas","aransas",24433,"< 1e5"
-96.9272689819336,28.2410907745361,4,80,"texas","aransas",24433,"< 1e5"
-96.9215393066406,28.2697372436523,4,81,"texas","aransas",24433,"< 1e5"
-96.9444580078125,28.2754669189453,4,82,"texas","aransas",24433,"< 1e5"
-96.9902954101562,28.2525482177734,4,83,"texas","aransas",24433,"< 1e5"
-96.9845657348633,28.2353591918945,4,84,"texas","aransas",24433,"< 1e5"
-96.9731063842773,28.2181720733643,4,85,"texas","aransas",24433,"< 1e5"
-96.9616470336914,28.1952533721924,4,86,"texas","aransas",24433,"< 1e5"
-96.9731063842773,28.1723346710205,4,87,"texas","aransas",24433,"< 1e5"
-97.0017547607422,28.1551456451416,4,88,"texas","aransas",24433,"< 1e5"
-97.0361328125,28.1551456451416,4,89,"texas","aransas",24433,"< 1e5"
-97.041862487793,28.1723346710205,4,90,"texas","aransas",24433,"< 1e5"
-97.0361328125,28.2009811401367,4,91,"texas","aransas",24433,"< 1e5"
-97.0590515136719,28.2181720733643,4,92,"texas","aransas",24433,"< 1e5"
-97.0762405395508,28.2067127227783,4,93,"texas","aransas",24433,"< 1e5"
-97.1106185913086,28.2181720733643,4,94,"texas","aransas",24433,"< 1e5"
-97.127799987793,28.2353591918945,4,95,"texas","aransas",24433,"< 1e5"
-97.127799987793,28.2525482177734,4,96,"texas","aransas",24433,"< 1e5"
-97.1106185913086,28.2640075683594,4,97,"texas","aransas",24433,"< 1e5"
-97.018943786621,28.2754669189453,4,98,"texas","aransas",24433,"< 1e5"
-96.8012161254883,28.3155746459961,4,99,"texas","aransas",24433,"< 1e5"
-98.4226913452148,33.455005645752,5,100,"texas","archer",8991,"< 1e4"
-98.4226913452148,33.3919792175293,5,101,"texas","archer",8991,"< 1e4"
-98.9498138427734,33.3862533569336,5,102,"texas","archer",8991,"< 1e4"
-98.9440841674805,33.8331565856934,5,103,"texas","archer",8991,"< 1e4"
-98.4169616699219,33.8388862609863,5,104,"texas","archer",8991,"< 1e4"
