"earn","height","sex","race","ed","age"
57055.5653429877,73.9522124472197,"male","white",16,46
32789.3796661253,60.6443739146608,"female","white",14,40
22286.8004109747,71.1798743983827,"male","white",12,40
48698.5250501847,65.0043379885795,"female","white",13,65
71637.552888116,67.8624177713789,"male","white",12,78
29620.997007219,66.8748882602959,"female","white",16,44
24843.1804714277,58.9652232205052,"female","white",8,65
26440.4988768348,62.8501517008594,"female","white",15,36
79576.5419400654,68.8514272361619,"male","white",11,22
13715.9034686946,65.9885168100797,"female","white",12,75
8162.68267176858,58.0915790905521,"female","white",5,89
8960.2545578515,66.1054245046709,"female","white",12,33
12747.0423371962,69.4163817501485,"male","white",10,79
15961.4273011639,71.7928357818249,"male","white",11,35
56670.3273867862,65.8776335801629,"female","white",16,32
158979.09115076,72.7439630388885,"male","white",18,41
24847.4599106837,67.2027023258038,"female","white",12,30
19051.340409669,74.3024558445864,"male","black",16,45
31727.703584918,66.6379535714937,"male","other",10,32
35974.9467608756,64.0502128566999,"female","white",14,38
6373.6175685778,70.5932160512391,"male","white",12,23
23272.6828309175,63.9216582720956,"female","white",14,44
48693.4797964477,67.1881809102964,"female","black",14,35
29637.2679715432,60.7791346027032,"female","white",14,49
79481.9408160514,71.0790646775892,"male","white",16,45
4972.0353918892,62.235103669026,"female","white",11,62
3199.96325523417,68.0731532555166,"male","white",12,22
55635.3843796645,66.1066586897881,"male","white",14,67
28022.6386657665,65.4912056083233,"female","white",14,43
20079.5574272996,63.7956999829133,"female","black",12,77
2098.28255691469,59.4632874406806,"female","white",12,40
103274.093507014,67.0475996091603,"male","white",14,29
28025.9975550003,66.9780841818168,"female","white",14,27
47707.0118820173,69.6414559998163,"male","white",11,55
79582.9722445708,71.7261730095705,"male","hispanic",13,68
103364.476394143,64.4342338976704,"male","white",12,32
4807.83133117883,61.737723200955,"female","white",16,26
95351.2060008194,71.0491447320205,"male","white",18,57
42963.3620053351,72.9359964182452,"male","white",12,95
39816.5002027645,70.087414023764,"male","white",12,69
28036.2730849519,63.0567366055875,"female","white",12,40
1945.44501302122,63.7764502457706,"female","white",12,47
6380.09148122974,72.8700354992539,"male","white",13,22
25420.1296221833,69.6642205386315,"male","white",12,37
40750.0226434449,67.4241560877826,"female","white",18,39
26434.5026070359,66.8171946155286,"female","white",12,65
12735.5841473359,73.0624612818421,"male","hispanic",14,25
26433.4457319253,63.9814469561267,"female","white",14,63
31750.6770282697,68.1039305108352,"male","white",15,46
31760.3097497459,69.0630153554182,"male","white",11,27
19176.3341880439,70.8307304988494,"male","hispanic",6,44
31207.4749542588,63.6802888711512,"female","white",12,50
71538.2893319736,67.4028030690226,"male","white",18,44
988.016236486753,62.1827111026162,"female","white",12,37
1314.20587405782,66.8351576286542,"female","white",12,37
14300.4605801796,71.7191301771293,"male","white",12,36
29618.6709435351,63.2808234286818,"female","white",12,40
39823.374123275,67.1667053587354,"male","white",16,30
127277.492490206,72.1811679517601,"male","white",14,62
43933.83836836,62.2051747376905,"female","white",12,45
2396.14778671762,73.1344157042666,"male","white",12,23
15292.2967766704,68.7363580271579,"female","white",11,38
996.918499717436,66.335046538684,"female","white",12,56
16894.0221460191,63.9553216378106,"female","white",14,36
18497.9558645746,63.1066347699319,"female","white",12,51
5772.98208580172,65.064858876184,"female","white",16,26
28044.017605739,62.9943517711136,"female","white",17,30
16896.1000435301,62.7577675720714,"female","black",12,39
24852.9189798823,60.9826768298383,"female","white",13,32
40734.3058021157,64.7713001962098,"female","white",13,82
5782.248948451,66.4869951903073,"female","white",15,69
47655.590724269,69.7556084062373,"male","white",12,37
111301.925090235,72.2291731715734,"male","white",14,36
32809.6326770138,59.6139746998244,"female","other",16,92
40751.8595966049,69.9640096736774,"female","white",12,31
20075.6765540308,64.2254657427771,"female","white",14,27
40760.9115574943,63.1468749032861,"female","white",10,64
34374.0790977282,63.9135053348441,"female","black",17,47
22225.1108881337,65.959993762675,"male","white",12,27
33388.2987658794,67.8929876792183,"male","white",12,63
28578.7772496041,69.477318217946,"male","white",16,79
39790.7425975321,73.8523800632582,"male","white",14,28
37566.5366877765,66.8330358579717,"female","white",12,51
36597.1185121691,70.0419157172339,"male","black",12,39
34389.1320382317,67.9196324484896,"female","white",17,29
23257.4531814882,61.3534056191173,"female","white",12,41
28038.3578937832,70.0039216112754,"female","white",15,31
69966.2128885529,68.9025259759316,"male","white",12,62
1001.22511774436,66.0704802080167,"female","black",11,33
8027.18531618615,68.6314188429432,"male","white",16,26
127226.599652973,69.9530797968038,"male","white",17,43
95330.5448443733,69.8739435109649,"male","white",18,54
16889.6611198725,65.5021006007507,"female","white",12,57
7370.75164242468,59.641056686453,"female","white",8,68
20099.9218436585,65.4775535420245,"female","white",13,67
61429.1854058301,68.425553804781,"female","white",17,48
45523.58050729,62.5340607057912,"female","white",18,48
29620.1650898871,64.0655173582912,"female","white",12,50
995.172315021961,67.3484007367181,"female","white",11,41
20091.4931673901,71.4132073882043,"female","white",12,39
